mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.004805755615234375,0.003923904429011188,0.009108734130859376,0.002219111595920372,21,{'n_neighbors': 21},0.08622387977278911,0.17366649482972996,0.13245035850963993,0.07086523259803756,0.17337587616933858,0.12731636837590704,0.042828713932035495,15
0.004803657531738281,0.003922195101422433,0.00800027847290039,6.412706366321707e-06,22,{'n_neighbors': 22},0.08415781448544446,0.18098313951346523,0.14058235861858392,0.08550850140196775,0.1628530049038016,0.1308169637846526,0.039669255175547355,8
0.0047970771789550785,0.003916797149893794,0.008004522323608399,6.911013982304284e-06,23,{'n_neighbors': 23},0.07976791595689203,0.17953356159958678,0.14109081502461618,0.08924588850094062,0.1711044957500656,0.13214853536642024,0.04105420398401436,7
0.0036998271942138674,0.0036236947563117613,0.011793994903564453,0.003222848999786786,24,{'n_neighbors': 24},0.0774315200877409,0.18129333828628058,0.14082251997498174,0.08954697690816127,0.177701033786703,0.13335907780877349,0.04328278469416526,4
0.002271413803100586,0.002499386275205327,0.015123271942138672,0.007634315003137352,25,{'n_neighbors': 25},0.0757860783732035,0.1693194650817238,0.1413455958138432,0.08674896124499498,0.17489581519530994,0.1296191831418151,0.04122973112908064,11
0.004795885086059571,0.003915824429492794,0.009088897705078125,0.0021540782278799066,26,{'n_neighbors': 26},0.07048296528553877,0.16805876715580692,0.14312133109588732,0.07581983976240148,0.1761369041670141,0.1267239614933297,0.04510733434011009,17
0.0053138256072998045,0.0034070327328904336,0.008084297180175781,0.005147705807582195,27,{'n_neighbors': 27},0.06480180178080486,0.17270498168632575,0.14728168740049508,0.07877625722387449,0.17540806919395535,0.12779455945709112,0.04697791388140491,14
0.007309627532958984,0.000869348151947746,0.008564138412475586,0.0014043351911008945,28,{'n_neighbors': 28},0.058342612106197955,0.16752585135094156,0.145674126306354,0.08338254089881003,0.175034180919451,0.1259918623163509,0.04671100106083113,18
0.0055145263671875,0.003775793860159714,0.006745529174804687,0.0029343886626527586,29,{'n_neighbors': 29},0.06137100529547124,0.16760454634597965,0.13680966158672347,0.08705438409632027,0.17015658622201046,0.12459923670930102,0.04354640842298755,19
0.006306266784667969,0.0024240275268401306,0.0017683029174804688,0.0026484668956081037,30,{'n_neighbors': 30},0.06244864568443964,0.16651807825656284,0.13164724226327362,0.0917780967490115,0.17016393548345454,0.12451119968734843,0.04200688008833539,20
